Hash,Link,Oracle,ACID
25400158d35c61b2a5cdf2ecc7b3abdaba118301,https://github.com/mitodl/ol-infrastructure/commit/25400158d35c61b2a5cdf2ecc7b3abdaba118301,Configuration Data,Configuration Data
9a2c0436152f37b139d426fb0638c6c06640186d,https://github.com/mitodl/ol-infrastructure/commit/9a2c0436152f37b139d426fb0638c6c06640186d,Configuration Data,Documentation
ecd64756a8e80b3c9e06e0916e12225daa2df3c7,https://github.com/aws-samples/appmod-blueprints/commit/ecd64756a8e80b3c9e06e0916e12225daa2df3c7,No Defect,No Defect
52ba8f9695599593743640b073c0b4c380624e99,https://github.com/DerekFournier/cdk-eks-quickstart-python/commit/52ba8f9695599593743640b073c0b4c380624e99,Dependency,Syntax
cb41a081faf9b429c712cacd7ad26ac080faeed1,https://github.com/siderolabs/contrib/commit/cb41a081faf9b429c712cacd7ad26ac080faeed1,Configuration Data,Configuration Data
3b4c6fc25597e4f57982df4fd75f2232f07e2768,https://github.com/DerekFournier/cdk-eks-quickstart-python/commit/3b4c6fc25597e4f57982df4fd75f2232f07e2768,No Defect,Service
0042fb9d22a6649eb475d7ef6a16e534afcf7e1e,https://github.com/mitodl/ol-infrastructure/commit/0042fb9d22a6649eb475d7ef6a16e534afcf7e1e,Dependency,Configuration Data
2f4b88e93711910f786e67aad6425f291ccd4c8a,https://github.com/2lambda123/checkov/commit/2f4b88e93711910f786e67aad6425f291ccd4c8a,Security,No Defect
b965c5f6835d78e27ae1c92ee191fe3132e26300,https://github.com/aws-samples/appmod-blueprints/commit/b965c5f6835d78e27ae1c92ee191fe3132e26300,Service,No Defect
725c867a181ab85241f37fc3e989a1aedc1ccd83,https://github.com/shapeshift/unchained/commit/725c867a181ab85241f37fc3e989a1aedc1ccd83,Configuration Data,Configuration Data
41d0860c2c71e4a67189e56f745d2f312502612d,https://github.com/pulumi/pulumi-gcp/commit/41d0860c2c71e4a67189e56f745d2f312502612d,Dependency,Service
b7dd62be2cbc5c437e8e0ffcb45c8bddcb3835b1,https://github.com/pulumi/pulumi-aws/commit/b7dd62be2cbc5c437e8e0ffcb45c8bddcb3835b1,No Defect,Configuration Data
20aa5505769458d6925888f0b578d714f8884eb9,https://github.com/tacoinfra/teztnets/commit/20aa5505769458d6925888f0b578d714f8884eb9,Documentation,Documentation
c02aaf118c5f6f777f7b0c565ec4ac378ad0a509,https://github.com/aws-solutions/aws-instance-scheduler/commit/c02aaf118c5f6f777f7b0c565ec4ac378ad0a509,No Defect,No Defect
51466fe8af33a95ab16aa5a8c508ba3be089c41c,https://github.com/beautse/serverless-patterns-small-copy/commit/51466fe8af33a95ab16aa5a8c508ba3be089c41c,Documentation,No Defect
6183e8376d12644d30151227ed19f35d1b2433b3,https://github.com/adityamillind98/checkov/commit/6183e8376d12644d30151227ed19f35d1b2433b3,Idempotency,Conditional
1ce18ea7eb08d974be4838d5fdfb63d20782de16,https://github.com/mitodl/ol-infrastructure/commit/1ce18ea7eb08d974be4838d5fdfb63d20782de16,Configuration Data,Conditional
e3759dcd576de9c8bded56e0edaa0c0874830247,https://github.com/bcgov/nr-bcws-opensearch/commit/e3759dcd576de9c8bded56e0edaa0c0874830247,Syntax,Syntax
4d7e7fc35ca802f8be2c75f9d247d0a273b76048,https://github.com/mitodl/ol-infrastructure/commit/4d7e7fc35ca802f8be2c75f9d247d0a273b76048,No Defect,Documentation
9d9091d4e94e17c74c728451da74260b43e59832,https://github.com/mitodl/ol-infrastructure/commit/9d9091d4e94e17c74c728451da74260b43e59832,No Defect,No Defect
81e610abe808ccc3052bd727a51c6fe4e23351c0,https://github.com/mitodl/ol-infrastructure/commit/81e610abe808ccc3052bd727a51c6fe4e23351c0,Configuration Data,Configuration Data
7ff277a8785328687efb378c2c648b67d852c4ce,https://github.com/pulumi/pulumi-cloud/commit/7ff277a8785328687efb378c2c648b67d852c4ce,Conditional,Service
874d248d71158bda6c3b06d7b080d6a39c550a32,https://github.com/nroldanf/LokaFold-AWSBatch/commit/874d248d71158bda6c3b06d7b080d6a39c550a32,Dependency,Configuration Data
5137f17f3fc174c54d9c4d901a3c53692ee751d0,https://github.com/mitodl/ol-infrastructure/commit/5137f17f3fc174c54d9c4d901a3c53692ee751d0,No Defect,Syntax
15b174657ded9b87454e388bd234795c430d0c7a,https://github.com/aws-amplify/amplify-ci-support/commit/15b174657ded9b87454e388bd234795c430d0c7a,No Defect,No Defect
77c466fdea071563c1a276ce8d362c2b7ccc591a,https://github.com/pulumi/templates/commit/77c466fdea071563c1a276ce8d362c2b7ccc591a,Dependency,Service
98ddb9872ee512c99c1b69bc270c6a824fc538f9,https://github.com/aws-solutions/aws-instance-scheduler/commit/98ddb9872ee512c99c1b69bc270c6a824fc538f9,Configuration Data,Documentation
550d0cc927df1a62d69acdb184576ec3a583e5f8,https://github.com/hashicorp/terraform-cdk/commit/550d0cc927df1a62d69acdb184576ec3a583e5f8,Dependency,Documentation
466d84b5693747894a582424030ba3231b7fab89,https://github.com/bcgov/nr-bcws-opensearch/commit/466d84b5693747894a582424030ba3231b7fab89,Security,No Defect
328158b7d8202c04d95adb209f67f8d376218640,https://github.com/mitodl/ol-infrastructure/commit/328158b7d8202c04d95adb209f67f8d376218640,Syntax,Documentation
9e00c4192170771ddcfdede3ac8f5c5be27cb522,https://github.com/mitodl/ol-infrastructure/commit/9e00c4192170771ddcfdede3ac8f5c5be27cb522,Configuration Data,No Defect
f469f0cc078bbd617fc676506ab47c2840acd82d,https://github.com/mitodl/ol-infrastructure/commit/f469f0cc078bbd617fc676506ab47c2840acd82d,Service,Service
cdac6d7976ba574f04e866c2562c48d36a281c3b,https://github.com/DerekFournier/cdk-eks-quickstart-python/commit/cdac6d7976ba574f04e866c2562c48d36a281c3b,Syntax,Syntax
976def3faca6418437c095b3d0c5d81d24f99c69,https://github.com/pulumi/pulumi-aws/commit/976def3faca6418437c095b3d0c5d81d24f99c69,Idempotency,Idempotency
b2471ed7b785918435a1176bdd9f6600e274f5e9,https://github.com/shapeshift/unchained/commit/b2471ed7b785918435a1176bdd9f6600e274f5e9,Configuration Data,Configuration Data
b6d9fa9898e9ae2e2054effc8e500a60acf8b4c3,https://github.com/mitodl/ol-infrastructure/commit/b6d9fa9898e9ae2e2054effc8e500a60acf8b4c3,Configuration Data,Configuration Data
8b8963398af55a9c580200212a12044d45a3f28e,https://github.com/MichaelGFagan/stepfunctions_example/commit/8b8963398af55a9c580200212a12044d45a3f28e,Service,Documentation
cf0c6e46683b8dc9638f12a28fcb444865aede75,https://github.com/MichaelGFagan/stepfunctions_example/commit/cf0c6e46683b8dc9638f12a28fcb444865aede75,Configuration Data,Documentation
ace64b299b455e620ba8fe010cc95456c60bc730,https://github.com/mitodl/ol-infrastructure/commit/ace64b299b455e620ba8fe010cc95456c60bc730,No Defect,No Defect
339c5e539b03c32aed03f020d5b118336f9a9524,https://github.com/mitodl/ol-infrastructure/commit/339c5e539b03c32aed03f020d5b118336f9a9524,No Defect,No Defect
b44278cfc415fb4c1f59b03c6b77dfacd4785102,https://github.com/checkly/pulumi-checkly/commit/b44278cfc415fb4c1f59b03c6b77dfacd4785102,Documentation,Documentation
b9292853ba2ec5c3d181a7bafe5136b1b70cb479,https://github.com/bcgov/nr-bcws-opensearch/commit/b9292853ba2ec5c3d181a7bafe5136b1b70cb479,Syntax,Syntax
d1522fa1027446de10daa4c58db54db64e918de7,https://github.com/MichaelGFagan/stepfunctions_example/commit/d1522fa1027446de10daa4c58db54db64e918de7,Dependency,Configuration Data
65ebe27f12cc6fee6fcc7e02a2a30d55f5f9c91d,https://github.com/fjen53/gitproject/commit/65ebe27f12cc6fee6fcc7e02a2a30d55f5f9c91d,Service,Documentation
aa0970f2b5ace59f2df41dd29d2b1f9236652bd6,https://github.com/mitodl/ol-infrastructure/commit/aa0970f2b5ace59f2df41dd29d2b1f9236652bd6,Configuration Data,Configuration Data
5337e5f8413c101317e307000fd1b2312e9d2b2e,https://github.com/aws-samples/cdk-eks-blueprints-patterns/commit/5337e5f8413c101317e307000fd1b2312e9d2b2e,Dependency,No Defect
d2a762b5b44b75bc28c056e78ac68efa555f3e25,https://github.com/mynameisakash/aws-cdk-examples/commit/d2a762b5b44b75bc28c056e78ac68efa555f3e25,No Defect,Documentation
4e3c67420c605187815dd5d4accad05904a791fd,https://github.com/pulumi/pulumi-awsx/commit/4e3c67420c605187815dd5d4accad05904a791fd,No Defect,No Defect
327a5d19ae578fe338778cfc657b3ad8b651aa7c,https://github.com/Shridharbhandar/CDK-Samples/commit/327a5d19ae578fe338778cfc657b3ad8b651aa7c,Configuration Data,No Defect
713ceda318ccf45b0029fdfd32115084e1bd0667,https://github.com/pulumi/pulumi-awsx/commit/713ceda318ccf45b0029fdfd32115084e1bd0667,No Defect,No Defect
be7d90e9f73599e113d566df8a2ed7251f13ffe2,https://github.com/pulumi/pulumi-awsx/commit/be7d90e9f73599e113d566df8a2ed7251f13ffe2,Dependency,Documentation
7b07c07de03612f801f5d35728a2e4ffe65c0599,https://github.com/pulumi/examples/commit/7b07c07de03612f801f5d35728a2e4ffe65c0599,Configuration Data,Configuration Data
995374b472e0b40b96b38bb0ed5a3bf484e27de5,https://github.com/mitodl/ol-infrastructure/commit/995374b472e0b40b96b38bb0ed5a3bf484e27de5,Service,Service
54bf658d9a3ca02c946b360f1aaf764f69a40ae7,https://github.com/DerekFournier/cdk-eks-quickstart-python/commit/54bf658d9a3ca02c946b360f1aaf764f69a40ae7,Dependency,Configuration Data
cd8eee5db511b4fd6f2b84b7a7be19dfb82cd06f,https://github.com/aws-samples/generative-ai-cdk-constructs-samples/commit/cd8eee5db511b4fd6f2b84b7a7be19dfb82cd06f,Idempotency,Idempotency
60501930a889be7d0ab7da0b7f3b1ff2ff29e92e,https://github.com/pulumi/pulumi-aws/commit/60501930a889be7d0ab7da0b7f3b1ff2ff29e92e,Idempotency,No Defect
2913893702f4856ab43955b682c3db7daf80f575,https://github.com/MalleshBonla/pulumi-examples/commit/2913893702f4856ab43955b682c3db7daf80f575,Syntax,Syntax
d58ff8d284766e824f8ae74542591001096e4421,https://github.com/RKemvou/class_project1/commit/d58ff8d284766e824f8ae74542591001096e4421,Syntax,Syntax
dc1b333f2bd35dca99017562e24572ea39da37d8,https://github.com/DerekFournier/cdk-eks-quickstart-python/commit/dc1b333f2bd35dca99017562e24572ea39da37d8,Documentation,Service
e8e0151596d860f7bac99ab46b13a07701d3e26c,https://github.com/MalleshBonla/pulumi-examples/commit/e8e0151596d860f7bac99ab46b13a07701d3e26c,Dependency,Configuration Data
190ea08ab7c58ee90521e2cc89676de36291a14f,https://github.com/pulumi/pulumi-cloud/commit/190ea08ab7c58ee90521e2cc89676de36291a14f,No Defect,Configuration Data
f10e90f834b592809a5a9fe95ad56afeba3b51e5,https://github.com/adityamillind98/checkov/commit/f10e90f834b592809a5a9fe95ad56afeba3b51e5,Conditional,Conditional
ba80eff773ff4f116a71e1fd199dba15cc69f23e,https://github.com/mitodl/ol-infrastructure/commit/ba80eff773ff4f116a71e1fd199dba15cc69f23e,Service,Configuration Data
bd2972861827940fe5cbd16c3fd5fa8856c59af2,https://github.com/mitodl/ol-infrastructure/commit/bd2972861827940fe5cbd16c3fd5fa8856c59af2,Configuration Data,Configuration Data
54534fa839439e94411816aa104fc0abcc51e6a0,https://github.com/MalleshBonla/pulumi-examples/commit/54534fa839439e94411816aa104fc0abcc51e6a0,Configuration Data,Configuration Data
417037c84f3f9a0864e60cace5f3c3aacd654581,https://github.com/balancer-labs/balancer-api/commit/417037c84f3f9a0864e60cace5f3c3aacd654581,Configuration Data,Documentation
00eb6119505380832189c0f69c5074417fd2ae78,https://github.com/bcgov/nr-bcws-opensearch/commit/00eb6119505380832189c0f69c5074417fd2ae78,No Defect,Configuration Data
855f7c950b75f3b3296bc500641c6b8d48068b14,https://github.com/mitodl/ol-infrastructure/commit/855f7c950b75f3b3296bc500641c6b8d48068b14,Service,Configuration Data
18359e94abcc68b34891ce57752d0209d27e4126,https://github.com/aws-samples/generative-ai-cdk-constructs-samples/commit/18359e94abcc68b34891ce57752d0209d27e4126,Configuration Data,Documentation
1443a17090ee7407c9d9dfa34ae4698e5d2aeaa5,https://github.com/mitodl/ol-infrastructure/commit/1443a17090ee7407c9d9dfa34ae4698e5d2aeaa5,Documentation,Configuration Data
89e3616548b372044367872736ec6a5ae339bc13,https://github.com/pulumi/pulumi-gcp/commit/89e3616548b372044367872736ec6a5ae339bc13,No Defect,No Defect
8e6afacd062988f9507394d791be4aed0a963f6a,https://github.com/affranco/pulumi/commit/8e6afacd062988f9507394d791be4aed0a963f6a,No Defect,No Defect
c95cf4402c8d3c1f71440c566a0b3d8caa2090b2,https://github.com/pulumi/pulumi-eks/commit/c95cf4402c8d3c1f71440c566a0b3d8caa2090b2,Conditional,Conditional
13c1baf7882b50a3a076c6dee442f0785659fa41,https://github.com/awslabs/aws-dataall/commit/13c1baf7882b50a3a076c6dee442f0785659fa41,Documentation,Documentation
2664dbcc87c73cb17c541878dea1c0d5e91b57a0,https://github.com/hashicorp/terraform-cdk/commit/2664dbcc87c73cb17c541878dea1c0d5e91b57a0,Documentation,Documentation
2bbe46a091f677134448fef80e855c2ec5889ad4,https://github.com/bcgov/nr-bcws-opensearch/commit/2bbe46a091f677134448fef80e855c2ec5889ad4,Service,Documentation
c985b879fbed067e615af9c7ee257ef54d939c14,https://github.com/MichaelGFagan/stepfunctions_example/commit/c985b879fbed067e615af9c7ee257ef54d939c14,Dependency,Documentation
65d5be386d81da81f9fbaee07099776720c602c0,https://github.com/MichaelGFagan/stepfunctions_example/commit/65d5be386d81da81f9fbaee07099776720c602c0,Syntax,No Defect
4805b28bf65365217bcf4f06ab51c7e54b689949,https://github.com/mitodl/ol-infrastructure/commit/4805b28bf65365217bcf4f06ab51c7e54b689949,Configuration Data,Documentation
c678e6762b3ea2085996db43b48b93b1344a37ab,https://github.com/awslabs/aws-dataall/commit/c678e6762b3ea2085996db43b48b93b1344a37ab,No Defect,No Defect
f460b2723878c5babd6ddba016d56f4dbb5b03e1,https://github.com/pulumi/pulumi-pulumiservice/commit/f460b2723878c5babd6ddba016d56f4dbb5b03e1,Dependency,Configuration Data
46d2178779443a4fb3a5368b218eb52ab4dc7feb,https://github.com/aws-samples/serverless-samples/commit/46d2178779443a4fb3a5368b218eb52ab4dc7feb,No Defect,No Defect
